mean,std,rms,peak_to_peak,kurtosis,skewness,crest_factor,shape_factor,impulse_factor,variance,freq_centroid,rms_freq,std_freq,kurtosis_psd,env_peak_freq_1,env_peak_freq_2,env_peak_freq_3,fault_type
-0.000305665,0.07455325,0.074553877,0.495473712,-0.142174624,-0.056468152,3.80775791,1.247003131,4.748286034,0.005558187,3371.134947,3893.385056,1947.792692,559.7783937,117.1875,3664.0625,3601.5625,N
-0.001326525,0.073840693,0.073852608,0.475784312,-0.096240616,-0.086033343,3.31086744,1.253001875,4.148523111,0.005452448,3468.82903,3956.849948,1903.650879,580.5880969,117.1875,125,3601.5625,N
-0.00151198,0.071947686,0.071963572,0.473083811,-0.121343847,-0.125412505,3.360251422,1.250535944,4.202115182,0.00517647,3586.060417,4036.847144,1853.727472,623.9219514,117.1875,242.1875,4265.625,N
-0.001484806,0.071190164,0.071205647,0.455386492,-0.204557245,-0.098610698,3.503436002,1.244661663,4.360592481,0.005068039,3572.729116,4029.753343,1864.006081,572.6463346,117.1875,125,4265.625,N
-0.000946776,0.07182968,0.071835919,0.455386492,-0.291006946,-0.068460044,3.472697621,1.237496031,4.297449524,0.005159503,3485.783955,3969.047059,1898.063429,552.4852374,117.1875,125,4265.625,N
-0.000415355,0.072881856,0.07288304,0.496620301,-0.269158065,-0.059660038,3.572108651,1.238380063,4.423628136,0.005311765,3458.266616,3956.234579,1921.505675,594.7262064,117.1875,242.1875,4265.625,N
-0.000368144,0.072251764,0.072252702,0.496620301,-0.244938336,-0.071162404,3.603271999,1.238134702,4.461336102,0.005220317,3440.977803,3956.667544,1953.174291,570.5358632,117.1875,125,4265.625,N
-0.00092857,0.072764491,0.072770416,0.428069807,-0.340330589,-0.108824433,3.072034425,1.232934252,3.787616465,0.005294671,3422.558961,3940.47635,1952.804143,542.12013,117.1875,242.1875,4265.625,N
-0.002634764,0.073173841,0.07322126,0.51447254,-0.261575452,-0.12500045,4.055819929,1.236194308,5.013781512,0.005354411,3473.415598,3971.20791,1925.065283,581.1466733,117.1875,242.1875,4265.625,N
-0.003301586,0.071888402,0.071964177,0.51447254,-0.205094902,-0.11403901,4.126667747,1.236630854,5.10316466,0.005167942,3535.572187,4012.578599,1897.502654,563.4578595,117.1875,4265.625,242.1875,N
-0.001622991,0.071629689,0.071648074,0.445670678,-0.295560608,-0.081758257,3.18076321,1.235236835,3.928995881,0.005130812,3535.894508,4018.292951,1908.959996,573.4347882,117.1875,4265.625,125,N
